Name,ICAO,Country
Swiss International Air Lines,SWR,Switzerland
Swissair,SWR,Switzerland
Sunwest Aviation (Lindquist Investment),SWS,United States
Swiftair,SWT,Spain
Swiss European Air Lines,SWU,Switzerland
Swe Fly,SWV,Sweden
Shovkoviy Shlyah,SWW,Ukraine
Swazi Express Airways,SWX,Swaziland
Sky Jet,SWY,Switzerland
Servair,SWZ,SWISSBIRD
Southern Cross Aviation,SXA,United States
Sky Exec Aviation Services,SXC,Nigeria
Southeast Express Airlines,SXE,United States
Servicios Aereos Sepecializados Mexicanos,SXM,Mexico
SunExpress,SXS,Turkey
Servicios De Taxi Aereo,SXT,Mexico
Satellite Aero,SXX,United States
Safari Express Cargo,SXY,Kenya
Skyways,SYA,Argentina
Systec 2000,SYC,United States
Sheba Aviation,SYE,Yemen
Sky One Express Airlines,SYF,United States
Synergy Aviation,SYG,United Kingdom
Sonalysts,SYI,United States
Slate Falls Airways,SYJ,Canada
Satsair,SYK,United States
Syncrude Canada,SYN,Canada
Syrian Arab Airlines,SYR,Syrian Arab Republic
Shawbury Flying Training Unit,SYS,United Kingdom
Special Aviation Systems,SYV,United States
Skywalk Airlines,SYX,United States
Silk Way Airlines,AZQ,Azerbaijan
South African Historic Flight,SYY,South Africa
Servicios Aeronauticos Z,SZT,Mexico
Specavia Air Company,BHV,Russia
Starair,BLY,Ireland
Sundance Air,BNC,United States
Samara Airlines,BRZ,Russia
Spark+ Joint-Stock Company,BVV,Russia
Swedish Civil Aviation Administration,CBN,Sweden
Shandong Airlines,CDG,China
Spectrem Air,CDS,South Africa
Servicios Aereos Centrales,CEE,Mexico
Swedish Airlines,CFL,Sweden
Seagle Air,CGL,Slovakia
Sirius-Aero,CIG,Russia
Sunwest Home Aviation,CNK,Canada
SAS Braathens,CNO,Norway
Spring Airlines,CQH,China
Sichuan Airlines,CSC,China
Shanghai Airlines,CSH,China
Shuangyang General Aviation,CSY,China
Shenzhen Airlines,CSZ,China
Shanxi Airlines,CXI,China
Sioux Falls Aviation,DKT,United States
Servicios Aereos Elite,DKY,Spain
Servicios Aereos Denim,DNI,Mexico
Swiss Eagle,EAB,Switzerland
Skypower Express Airways,EAN,Nigeria
Scenic Air,ENR,Namibia
Sun D'Or,ERO,Israel
SkyEurope,ESK,Slovakia
Sunshine Express Airlines,EXL,Australia
South African Express,EXY,South Africa
Stuttgarter Flugdienst,FFD,Germany
Shalom Air Services,FFH,Nigeria
Silverjet,FJE,United Kingdom
Sky Bus,FLH,United States
South Coast Aviation,GAD,United Kingdom
Servicios Aereos Gadel,GDE,Mexico
S.P. Aviation,GDG,United States
Seba Airlines,GIK,Guinea
Servicios Aereos Gana,GNA,Mexico
Sky Wings Airlines,GSW,Greece
Star XL German Airlines,GXL,Germany
Skyhaul,HAU,Japan
Starship,HIP,Mexico
Servicios Ejecutivos Gosa,HJE,Mexico
Superior Aviation,HKA,United States
Samaritan Air Service,HLO,Canada
Skyraidybos Mokymo Centras,HRI,Lithuania
Sky Europe Airlines,HSK,Slovakia
Svenska Direktflyg,HSV,Sweden
Sky Helicopteros,HSY,Spain
Skytaxi,IGA,Poland
Silvair,IJS,United States
Servicios Aereos Ilsa,ILS,Mexico
Sincom-Avia,INK,Ukraine
Safat Airlines,IRV,Iran
Saha Airlines Services,IRZ,Iran
Sunline Express,JAM,Kenya
Secure Air Charter,JCM,United States
Sark International Airways,JIM,United Kingdom
Spanair,JKK,Spain
Salem,KKS,Kazakhstan
Servicios Aereos Copters,KOP,Chile
Servicios Aereos Expecializados En Transportes Petroleros,KSP,Colombia
Skybridge Airops,KYB,Italy
Sky Aeronautical Services,KYR,Mexico
Servicios Aereos Ejecutivos De La Laguna,LGU,Mexico
Servico Leo Lopex,LLA,Mexico
Servicios Aereos Estrella,LLS,Mexico
South African Air Force,LMG,South Africa
Sky Limo Corporation,LMO,United States
SANSA,LRS,Costa Rica
Spectrum Aviation Incorporated,LSP,United Kingdom
SOS Helikoptern Gotland,MCG,Sweden
Sundt Air,MDT,Norway
Servicios Aereos Milenio,MLO,Mexico
SAAD (A320) Limited,MMS,Cayman Islands
Servicios Aereos Moritani,MRI,Mexico
San Juan Airlines,MRR,United States
Servico Aereo Regional,MSG,Mozambique
Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica,MSP,Costa Rica
Servicios Aereos MTT,MTG,Mexico
Seulawah Nad Air,NAD,Indonesia
Servicios Aereos del Nazas SA de CV,NAZ,Mexico
Simpson Air Ltd,NCS,Canada
Spirit Airlines,NKS,United States
Servicios Aereos Latinoamericanos,NON,Mexico
Servicios Aereos Monarrez,NRZ,Mexico
Societe De Transport Aerien De Mauritanie,NSC,Mauritania
SATENA,NSE,Colombia
Servicios Aereos Del Norte,NTB,Mexico
Servicios Intergrales De Aviacion,NTG,Mexico
Slok Air Gambia,OKS,Gambia
Soko Aviation,OKT,Spain
Solar Cargo,OLC,Venezuela
Soloflight,OLO,United Kingdom
Sonnig SA,ONG,Switzerland
Sosoliso Airlines,OSL,Nigeria
Servicios Aereos Noticiosos,OSS,Mexico
South Airlines,OTL,Ukraine
Skywest Airlines,OZW,Australia
Sokol,PIV,Russia
South Carolina Aeronautics Commission,PLT,United States
Servicios Aereos Premier,PMR,Mexico
Survey Udara (Penas),PNS,Indonesia
Servicios Aereos Poblanos,POB,Mexico
Servicios Aereos Profesionales,PSV,Dominican Republic
Southeastern Airways,PTM,United States
Spurwing Airlines,PUR,South Africa
Sky Trek International Airlines,PZR,United States
Shandong Airlines Rainbow Jet,RBW,China
SA Airlink Regional,REJ,South Africa
Servicio Aereo Regional Regair,RER,Ecuador
Scoala Superioara De Aviatie Civila,RFT,Romania
Servicios Aereos Regiomontanos,RGC,Mexico
S-Air,RLS,Russia
Servicios De Rampa Y Mostrador,RMP,Mexico
SNAS Aviation,RSE,Saudi Arabia
Skybus Airlines,SKB,United States
Skymaster Air Lines,SKC,United States
Sky Harbor Air Service,SKD,United States
Sky Tours,SKE,United States
Sakaviaservice,AZG,Georgia
Skycraft,SKF,United States
Skycraft Air Transport,SKG,Canada
Skyking,SKI,United Kingdom
SkyKing Turks and Caicos Airways,SKI,Turks and Caicos Islands
Skylink Aviation,SKK,Canada
Skycharter (Malton),SKL,Canada
Skyline Aviation Services,SKN,United States
Scottish Airways Flyers,SKO,United Kingdom
Skyscapes Air Charters,SKR,South Africa
Sky Service,SKS,Belgium
Santa Barbara Airlines,BBR,Venezuela
Skystar Airways,SKT,Thailand
Sky Airline,SKU,Chile
SkyWest,SKW,United States
Skyways Express,SKX,Sweden
Skymark Airlines,SKY,Japan
Skyway Enterprises,SKZ,United States
Sierra National Airlines,SLA,Sierra Leone
Slok Air,SLB,Nigeria
Silver Air,SLD,Czech Republic
Streamline,SLE,South Africa
Starfly,SLF,Italy
Saskatchewan Government,SLG,Canada
Silverhawk Aviation,SLH,United States
Servicios Aereos de Los Angeles,AGE,Mexico
SilkAir,SLK,Singapore
Slovak Airlines,SLL,Slovakia
Surinam Airways,SLM,Suriname
Sloane Aviation,SLN,United Kingdom
Salpa Aviation,SLP,Sudan
Servicios Aereos Slainte,SLS,Mexico
Stella Aviation,SLV,Mauritania
Salama Airlines Nigeria,SLW,Nigeria
Sete Linhas Aereas,SLX,Brazil
Sky Line for Air Services,SLY,Sudan
Super Luza,SLZ,Angola
SMA Airlines,SMA,Nigeria
Sabang Merauke Raya Air Charter,SMC,Indonesia
Servicios Aereos La Marquesa,SMD,Mexico
Semos,SME,Kazakhstan
Smalandsflyg,SMF,Sweden
Smithair,SMH,United States
Semeyavia,SMK,Kazakhstan
Smith Air (1976),SML,Canada
Summit Airlines,SMM,United States
Samar Air,SMQ,Tajikistan
Somon Air,SMR,Tajikistan
Skyline,SMT,Nigeria
Servicios Aerecs Del Sol,AOS,AEROSOL
Senator Aviation Charter,SNA,Germany
Sterling Airlines,SNB,Denmark
Servicios Aereos De Nicaragua (SANSA),SNE,Nicaragua
Shans Air,SNF,Russia
Senair Services,SNH,Senegal
Savanah Airlines,SNI,Nigeria
Skynet Asia Airways,SNJ,Japan
Southeast Airlines (Sun Jet International),SNK,United States
Soonair Lines,SNL,United States
Servizi Aerei,SNM,Italy
Sun Pacific International,SNP,United States
Sun Quest Executive Air Charter,SNQ,United States
Societe Centrafricaine De Transport Aerien,SNS,Central African Republic
Suncoast Aviation,SNT,United States
Snunit Aviation,SNU,Israel
Sudanese States Aviation,SNV,Sudan
Sun West Airlines,SNW,United States
Sun Air Aviation Services,SNX,Canada
Stabo Freight,SOB,Zambia
Southern Cargo Air Lines,SOC,Russia
Southern Ohio Aviation Sales,SOH,United States
Southern Aviation,SOI,Zambia
Solomon Airlines,SOL,Solomon Islands
Somali Airlines,SOM,Somali Republic
Sunshine Air Tours,SON,United States
Southern Air,SOO,United States
Solinair,SOP,Slovenia
Sonair Servico Aereo,SOR,Angola
Southeast Correct Craft,SOT,United States
Southern Airways,SOU,United States
Saratov Aviation Division,SOV,Russia
Sowind Air,SOW,Canada
Solid Air,SOX,Netherland
Sat Airlines,SOZ,Kazakhstan
Sierra Pacific Airlines,SPA,United States
Springbok Classic Air,SPB,South Africa
Skyworld Airlines,SPC,United States
Sprague Electric Company,SPE,United States
Space World Airline,SPF,Nigeria
Springdale Air Service,SPG,United States
Sapphire Executive Air,SPH,South Africa
South Pacific Island Airways,SPI,United States
Servicios Corporativos Aereos De La Laguna,SPL,Mexico
Skorpion Air,SPN,Bulgaria
Sapphire Aviation,SPP,United States
Servicios Aereos Palenque,SPQ,Mexico
Servicios Aereos Tribasa,TBS,Mexico
Shuttle America,TCF,United States
SAAB Nyge Aero,TGT,Sweden
Spark Air,THB,Thailand
S C Ion Tiriac,TIH,Romania
Starlite Aviation,TRL,South Africa
Servicios Aereos Corporativos,TRN,Mauritania
Societe Tout Tranport Mauritanien,TTM,Mauritania
Servicios Aereos Tamazula,TZU,Mexico
Shar Ink,UGP,Russia
Second Sverdlovsk Air Enterprise,UKU,Russia
Servicios Aereos Universitarios,UNT,Mexico
Skif-Air,USK,Ukraine
Smarkand Aero Servise,USN,Uzbekistan
Samarkand Airways,UZS,Uzbekistan
Servicios Aereos Avandaro,VDO,Mexico
Stichting Vliegschool 16Hoven,VGS,Netherlands
Silverback Cargo Freighters,VRB,Rwanda
Sirvair,VRS,Mexico
Scat Air,VSV,Kazakhstan
Sunset Aviation,VXN,United States
Sport Air Travel,WCC,United States
Swift Copters,WFC,Switzerland
Skyrover CC,WLK,South Africa
Safarilink Aviation,XLK,Kenya
SENEAM,XMX,Mexico
Southport Air Service,XPG,United States
Spectrum Air Service,XSA,United States
Stephenville Aviation Services,XSN,Canada
Servicios Aereos Textra,XTA,Mexico
Sector Airlines,XTR,Canada
Skyplan Services,XXS,Canada
Stewart Aviation Services,YBE,United States
Servicios Aereos Integrales / Flyant,FYA,Spain
State Flight Academy of Ukraine,UFA,Ukraine
Trans Jet Airways,SWL,Sweden
Turbot Air Cargo,TAC,Senegal
Tranporte Aereo Dominicano,TAD,Dominican Republic
TAME,TAE,Ecuador
Trans International Express Aviation,BAP,United States
TAG Aviation USA,TAG,United States
Talair,TAL,Papua New Guinea
TAM Brazilian Airlines,TAM,Brazil
Transaustralian Air Express,AUC,Australia
TAP Portugal,TAP,Portugal
Tunisair,TAR,Tunisia
Transportes Aereos Tauro,TAU,Mexico
Travelair,TAX,Germany
TNT Airways,TAY,Belgium
Transbrasil,TBA,Brazil
Turbine Air Cargo UK,TBC,United Kingdom
Thunderbird Tours,TBD,Canada
Tropical Airways,TBG,Haiti
Trinity Air Bahamas,TBH,Bahamas
TAB Express International,TBI,United States
Taban Air Lines,TBM,Iran
Teebah Airlines,TBN,Sierra Leone
Tubelair,TBR,Tunisia
Tobago Express,TBX,Trinidad and Tobago
Tropican Air Services,TCA,Egypt
Transporte del Caribe,TCB,Colombia
Trans Continental Airlines,TCC,Sudan
Tchad Airlines,TCD,Chad
Trans-Colorado Airlines,TCE,United States
Thai Air Cargo,TCG,Thailand
Transcontinental Air,TCH,Bahrain
Teledyne Continental Motors,TCM,United States
Trans Continental Airlines,TCN,United States
Transcorp Airways,TCP,United Kingdom
Transcontinental Sur,TCT,Uruguay
Transglobal Airways Corporation,TCU,Philippines
Thomas Cook Airlines,TCW,Belgium
Thomas Cook Airlines,TCX,United Kingdom
Twin Cities Air Service,TCY,United States
Tadair,TDC,Spain
Tellavia / Flight One,TDE,United States
Transportes Aereos de Ixtlan,TDI,Mexico
Tandem Aero,TDM,Moldova
TRADO,TDO,Dominican Republic
Trade Air,TDR,Croatia
Taxi Aero Nacional Del Evora,TDV,Mexico
Tradewinds Airlines,TDX,United States
Tenir Airlines,TEB,Kyrgyzstan
Teamline Air,TLW,Austria
Tecnicas Fotograficas,TEF,Spain
Tempelhof Airways,TEH,United States
Telford Aviation,TEL,United States
Tech-Mont Helicopter Company,TEM,Slovakia
Tennessee Airways,TEN,United States
Territorial Airlines,TER,United States
TAES Transportes Aereos de El Salvador,TES,El Salvador
Transeuropean Airlines,TEP,Russia
Tepavia-Trans Airlines,TET,Moldova
Trans-Florida Airlines,TFA,United States
Tair Airways,TFB,Philippines
Talon Air,TFF,United States
Trabajos Aereos Murcianos,AIM,Spain
Thai Flying Helicopter Service,TFH,Thailand
Transport Facilitators,TFI,United States
Transafrik International,TFK,Sao Tome and Principe
Transportes Aereos del Pacifico,TFO,Mexico
Thai Flying Service,TFT,Thailand
Transportes Aereos San Rafael,SRF,Chile
Tayside Aviation,TFY,United Kingdom
TG Aviation,TGC,United Kingdom
Trabajos Aereos,TGE,Spain
Transportes Aereos Regionales,TGI,Mexico
TAG Aviation Espana,TGM,Spain
Trigana Air Service,TGN,Indonesia
Titan Airways,AWC,United Kingdom
Transport Canada,TGO,Canada
Tiger Airways,TGW,Singapore
Tiger Airways Australia,TGW,Australia
Transair Gabon],TGX,Gabon
Trans Guyana Airways,TGY,Guyana
Thai Airways International,THA,Thailand
Tar Heel Aviation,THC,United States
Toumai Air Tchad,THE,Chad
Touraine Helicoptere,THF,France
Thai Global Airline,THG,Thailand
Thai Jet Intergroup,THJ,Thailand
Turk Hava Kurumu Hava Taksi Isletmesi,THK,Turkey
Thai AirAsia,AIQ,Thailand
TACA De Honduras,THO,Honduras
Tehran Airline,THR,Iran
Thunder Airlines,THU,Canada
Turkish Airlines,THY,Turkey
Trans Helicoptere Service,THZ,France
Trans International Airlines,TIA,United States
Travel International Air Charters,TIC,Zambia
Time Air,TIE,Czech Republic
Tic Air,TIK,Australia
Tajikistan International Airlines,TIL,Tajikistan
TEAM Transportes Aereos,TIM,Brazil
Taino Tours,TIN,Dominican Republic
Tesis,TIS,Russia
Transcarga Intl Airways,TIW,Venezuela
Tajikair,TJK,Tajikistan
Tien-Shan,TJN,Kazakhstan
Tyrolean Jet Service,TJS,Austria
Twin Jet,TJT,France
Tikal Jets Airlines,TKC,Guatemala
Take Air Line,TKE,France
Tropical International Airways,TKX,Saint Kitts and Nevis
Thai Sky Airlines,TKY,Thailand
Translift Airways,TLA,Ireland
Transport Africa,TLF,Sierra Leone
Trans Atlantic Airlines,TLL,Sierra Leone
Eagle Canyon Airlines,TLO,United States
Tulip Air,TLP,Netherland
Tunisavia,TAJ,Tunisia
TLC Air,TLS,United States
Turtle Airways,TLT,Fiji
Travelair,TLV,Uruguay
Telesis Transair,TLX,United States
Top-Fly,TLY,Spain
Trans Mediterranean Airlines,TMA,Lebanon
Transmed Airlines,TMD,Egypt
Tri-MG Intra Asia Airlines,TMG,Indonesia
Taxis Turisticos Marakame,TMH,Mexico
Tamir Airways,TMI,Israel
Tomahawk Airways,TMK,United States
TAM,TML,Madagascar
TMC Airlines,TMM,United States
TRAM,TMQ,Mauritania
Timberline Air,TMR,Canada
Temsco Helicopters,TMS,United States
Trans Midwest Airlines,TMT,United States
Tramon Air,TMX,South Africa
Transportes Aereos del Mundo Maya,TMY,Mexico
Tranporte Amazonair,TMZ,Venezuela
Trans Air-Benin,TNB,Benin
Taxis Aereos del Noroeste,TNE,Mexico
Transafricaine,TNF,Burkina Faso
Tennessee Air National Guard 164th Airlift Group,TNG,United States
Transair International Linhas Aereas,TNI,United States
Tengeriyn Ulaach Shine,TNL,Mongolia
Tiara Air,TNM,Aruba
Transped Aviation,TNP,Austria
Tanana Air Services,TNR,United States
Trans North Turbo Air,TNT,Canada
Transnorthern,TNV,United States
Trans Nation Airways,TNW,Ethiopia
Trener Ltd,TNX,Hungary
Twin Town Leasing Company,TNY,United States
Tobruk Air,TOB,Libya
TOJ Airlines,TOJ,Tajikistan
Tol-Air Services,TOL,United States
Thomsonfly,TOM,United Kingdom
Top Air,TOP,Turkey
Toronto Airways,TOR,Canada
Tropic Air,TOS,Belize
Totavia,TOT,Canada
Tower Air,TOW,United States
Toyota Canada,TOY,Canada
TAMPA,TPA,Colombia
Top Speed,TPD,Austria
Taxis Aereos del Pacifico,TPF,Mexico
Transportes Aereos Pegaso,TPG,Mexico
TAR Interpilot,TPL,Mauritania
Transpais Aereo,TPM,Mexico
Transportacion Aerea del Norte,TPN,Mexico
Transpac Express,TPP,Australia
Taxis Aereos De Parral,TPR,Mexico
TAPSA Transportes Aereos Petroleros,TPS,Argentina
Transportes Aereo del Sureste,TPT,Mexico
Trans American Airlines (Trans Am),TPU,Peru
Thai Pacific Airlines Business,TPV,Thailand
Transportes Aereos De Xalapa,TPX,Mexico
Trans-Provincial Airlines,TPY,Canada
Transportes La Paz,TPZ,Mexico
Taquan Air Services,TQN,United States
Transportacion Aerea De Queretaro,TQR,Mexico
TransAsia Airways,TNA,Taiwan
Transavia Holland,TRA,Netherlands
Trans Air Charter,TRC,United States
TACV,TCV,Portugal
Trans Island Air,TRD,Barbados
Taxi Air Fret,TRF,France
TRAGSA (Medios Aereos),TRG,Spain
Trans Euro Air,TRJ,United Kingdom
Transport Aerien de Mauritanie,TRM,Mauritania
Tropic Airlines-Air Molokai,TRO,United States
Turdus Airways,TRQ,Netherland
Tramson Limited,TRR,Sudan
Trans Arabian Air Transport,TRT,Sudan
Triangle Airline (Uganda),TRU,Uganda
Transwestern Airlines of Utah,TRW,United States
Tristar Airlines,TRY,United States
TransMeridian Airlines,TRZ,United States
Transair France,TSA,France
TAF-Linhas Aereas,TSD,Brazil
Transmile Air Services,TSE,Malaysia
Trans-Air-Congo,TSG,Republic of the Congo
Transport'air,TSI,France
Trast Aero,TSJ,Kyrgyzstan
Trast Aero,TSK,Kyrgyzstan
Thai Aviation Services,TSL,Thailand
Taftan Airlines,SBT,Iran
Transwest Air,ABS,Canada
Trans Sayegh Airport Services,TSM,Lebanon
Trans-Air Services,TSN,Nigeria
Transaero Airlines,TSO,Russia
Transportes Aereos Inter,TSP,Guatemala
Trans Service Airlift,TSR,Democratic Republic of Congo
Tri-State Aero,TSS,United States
TRAST,TST,Kazakhstan
Tropair Airservices,TSV,United Kingdom
Transwings,TSW,Switzerland
Thai Star Airlines,TSX,Thailand
Tristar Air,TSY,Egypt
TTA - Sociedade de Transporte e Trabalho Aereo,TTA,Mozambique
Transteco,TTC,Angola
Tarhan Tower Airlines,TTH,Turkey
Total Linhas Aereas,TTL,Brazil
Triple O Aviation,TTP,Nigeria
Transportaciones Y Servicios Aereos,TTR,Mexico
Transporte Aereo Tecnico Ejecutivo,TTS,Mexico
Turkmenistan Airlines,TUA,Turkmenistan
Turismo Aereo de Chile,TUC,Chile
Tuninter,TUI,Tunisia
Tulpar Air,TUL,Russia
Tyumenspecavia,TUM,Russia
Taxi Aereo Turistico,TUO,Mexico
Tulpar Air Service,TUX,Kazakhstan
Tuna Aero,TUZ,Sweden
Trans America Airlines,TVA,United States
Trabajos Aereos Vascongados,TVH,Spain
Tiramavia,TVI,Moldova
Travel Service,TVL,Hungary
Transavio,TVO,Italy
Tavrey Airlines,TVR,Ukraine
Travel Service,TVS,Czech Republic
Trans World Airlines,TWA,United States
Transwede Airways,TWE,Sweden
Twinjet Aircraft Sales,TWJ,United Kingdom
Tradewinds Aviation,TWL,Canada
Transairways,TWM,Mozambique
Twente Airlines,TWO,Netherlands
Trans Air Welwitchia,TWW,Angola
Texair Charter,TXA,United States
Transaviaexport,TXC,Belarus
Transilvania Express,TXE,Romania
Taxi Aereo Cozatl,TXL,Mexico
Taxi Aereo de Mexico,TXM,Mexico
Texas National Airlines,TXN,United States
Taxis Aereos de Sinaloa,TXO,Mexico
Taxirey,TXR,Mexico
Texas Airlines,TXS,United States
Texas Air Charters,TXT,United States
Tex Star Air Freight,TXZ,United States
Tayflite,TYF,United Kingdom
Trygg-Flyg,TYG,Sweden
Tyrol Air Ambulance,TYW,Austria
Transporte Aereo Ernesto Saenz,TZE,Mexico
Tajikstan,TZK,Tajikistan
Thyssen Krupp AG,BLI,Germany
TUIfly Nordic,BLX,Sweden
Transportes Aereos Bolivianos,BOL,Bolivia
Tiphook PLC,BOX,United Kingdom
Top Flight Air Service,CHE,United States
Trans America,CLR,United States
Triple Alpha,CLU,Germany
Tashkent Aircraft Production Corporation,CTP,Uzbekistan
Texas Airways,CWT,United States
Transportes Aereos Don Carlos,DCL,Chile
Telnic Limited,DOT,United Kingdom
Triton Airlines,DRC,Canada
TAAG Angola Airlines,DTA,Angola
Tassili Airlines,DTH,Algeria
Transporte Ejecutivo Aereo,EAR,Mexico
Transportes Aereos Nacionales De Selva Tans,ELV,Peru
TAG Farnborough Airport,FBO,United Kingdom
Transaviaservice,FNV,Georgia
TAG Aviation,FPG,Switzerland
The 955 Preservation Group,GFN,United Kingdom
Trans-Air-Link,GJB,United States
Tradewind Aviation,GPD,United States
Trail Lake Flying Service,HBA,United States
TAF Helicopters,HET,Spain
Tango Bravo,HTO,France
Turkish Air Force,HVK,Turkey
Thryluthjonustan,IHS,Iceland
TA-Air Airline,IRF,Iran
Tara Air Line,IRR,Iran
Trading Air Cargo,JCH,Mauritania
Trans-Kiev,KCA,Ukraine
Tal Air Charters,JEL,Canada
Transcontinental Airlines,KRA,Kazakhstan
Transaviabaltika,KTB,Lithuania
Transair-Gyraintiee,KTS,Russia
TAM Mercosur,LAP,Paraguay
The Lancair Company,LCC,United States
The Army Aviation Heritage Foundation,LEG,United States
Top Sky International,LKW,Indonesia
Trans States Airlines,LOF,United States
Trans Atlantis,LTA,Canada
Transportacion Aerea Del Mar De Cortes,MCT,Mexico
Transporte Aero MGM,MGM,Mexico
Tigerfly,MOH,United Kingdom
Transportes Aereos Amparo,MPO,Mexico
Trans Air,MUI,United States
Transportes Aereos Mexiquenses,MXQ,Mexico
TNT International Aviation,NTR,United Kingdom
Open Skies Consultative Commission,OSY,United States
Trans-Pacific Orient Airways,PCW,Philippines
Tauranga Aer Club,PGS,New Zealand
TSSKB-Progress,PSS,Russia
Trans World Express,RBD,United States
Trans Reco,REC,Mauritania
Tas Aviation,RMS,United States
Tarom,ROT,Romania
Transportes Aereos I.R. Crusoe,ROU,Chile
Transportes Aereos Sierra,RRT,Mexico
Tbilisi Aviation University,RRY,Georgia
Trans Am Compania,RTM,Ecuador
Trans Sahara Air,SBJ,Nigeria
Transportes Aereos Sierra Madre,SEI,Mexico
Trans Asian Airlines,SRT,Kazakhstan
Turan Air,URN,Azerbaijan
TRIP Linhas A,TIB,Brazil
Tusheti,USB,Georgia
TAPC Aviatrans Aircompany,UTM,Uzbekistan
Trans-Ulgii,UTN,Mongolia
Transarabian Transportation Services,UTT,Uganda
Transaven,VEN,Venezuela
Tag Aviation UK,VIP,United Kingdom
Tbilaviamsheni,VNZ,Georgia
Taxi de Veracruz,VRC,Mexico
Travel Express Aviation Services,XAR,Indonesia
Taxi Aero Del Norte,XNR,Mexico
USAF Air Mobility Operations Control Center,DOD,United States
U.S. Department of the Interior,DOI,United States
United Kingdom Civil Aviation Authority,EXM,United Kingdom
Union des Transports Africains de Guinee,GIH,Guinea
US Army Parachute Team,GKA,United States
USA3000 Airlines,GWY,United States
United Arabian Airlines,UAB,Sudan
United Airlines,UAL,United States
United Air Charters,UAC,Zimbabwe
United Carriers Systems,UCS,United States
United Eagle Airlines,UEA,China
United Kingdom Civil Aviation Authority,CFU,United Kingdom
United Kingdom Royal VIP Flights,KRF,United Kingdom
United Kingdom Royal VIP Flight,KRH,United Kingdom
United Kingdom Civil Aviation Authority,SDS,United Kingdom
United Kingdom Royal VIP Flights,TQF,United Kingdom
United States Coast Guard Auxiliary,CGX,United States
United States Department Of Agriculture,AGR,United States
University Air Squadron,UAD,United Kingdom
University Air Squadron,UAJ,United Kingdom
University Air Squadron,UAA,United Kingdom
University Air Squadron,UAH,United Kingdom
Universal Avia,HBU,Ukraine
UK HEMS,HLE,United Kingdom
USA Jet Airlines,JUS,United States
Unijet,LEA,France
US Marshals Service,MSH,United States
University of North Dakota,NDU,United States
Universal Airlines,PNA,United States
Uganda Royal Airways,RAU,Uganda
United Aviation Services,SAU,Spain
Ural Airlines,SVR,Russia
Ukraine Transavia,TRB,Ukraine
United Arab Emirates Air Force,UAF,United Arab Emirates
Union Africaine des Transports,UAI,Ivory Coast
Uganda Air Cargo,UCC,Uganda
US Airports Air Charter,UCH,United States
Ucoaviacion,UCO,Spain
Ues-Avia Aircompany,UES,Ukraine
UFS,UFS,United States
Uganda Airlines,UGA,Uganda
Urgemer Canarias,UGC,Spain
Ukrainian Helicopters,UHL,Ukraine
Ulyanovsk Higher Civil Aviation School,UHS,Russia
Universal Jet Rental de Mexico,UJR,Mexico
Universal Jet Aviation,UJT,United States
UK International Airlines,UKI,United Kingdom
Ukraine Air Alliance,UKL,Ukraine
UM Airlines,UKM,Ukraine
Ukraine Air Enterprise,UKN,Ukraine
United Kingdom Home Office,UKP,United Kingdom
Ukrainian Cargo Airways,UKS,Ukraine
Ultrair,ULT,United States
Unitemp-M,UMS,Russia
Uni-Fly,UNC,Denmark
Union Flights,UNF,United States
Universal Jet,UNJ,Spain
Unsped Paket Servisi,UNS,Turkey
Unifly Servizi Aerei,UNU,Italy
Ukrainian Pilot School,UPL,Ukraine
United Parcel Service,UPS,United States
Uraiavia,URV,Russia
US Airways,USA,United States
US Check Airlines,USC,United States
USAfrica Airways,USF,United States
US Helicopter,USH,United States
US Jet,USJ,United States
US Express,USX,United States
UTair Aviation,UTA,Russia
UTAGE,UTG,Equatorial Guinea
Utair South Africa,UTR,South Africa
Ukrainian State Air Traffic Service Enterprise,UTS,Ukraine
Urartu-Air,UTU,Armenia
Universal Airways,UVA,United States
Universal Airlines,UVG,Guyana
Uvavemex,UVM,Mexico
United States Air Force,AIO,United States
United Aviation,UVN,Kuwait
Uzbekistan Airways,UZB,Uzbekistan
Ukraine International Airlines,AUI,Ukraine
Universal Airlines,WEC,United States
V Australia Airlines,VAU,Australia
V Bird Airlines Netherlands,VBA,Netherlands
V-avia Airline,WIW,Ukraine
V-Berd-Avia,VBD,Armenia
Vacationair,VAC,Canada
Valair AG (Helicoptere),RDW,Switzerland
Valan International Cargo Charter,VLA,South Africa
Valan Limited,VLN,Moldova
Valfell-Verkflug,EHR,Iceland
Valuair,VLU,Singapore
Van Air Europe,VAA,Czech Republic
Vanguardia en Aviacion en Colima,VGC,Mexico
Vanguard Airlines,VGD,United States
Vasco Air,VFC,Vietnam
Vega,VAG,Kazakhstan
Vega Air Company,WGA,Ukraine
Veles,WEL,VELES
Verataxis,VTX,Mexico
Veritair Ltd,BTP,United Kingdom
Voyageur Airways,VAL,Canada
Vernicos Aviation,GRV,Greece
Vietnam Airlines,HVN,Vietnam
Vozdushnaya Academy,KWA,Kazakhstan
VIM Airlines,MOV,Russia
VIM-Aviaservice,MVY,Russia
Victoria Aviation,ENV,United Kingdom
Viscount Air Service,VCT,United States
Vision Airlines,SSI,Nigeria
VIP Air Charter,FXF,United States
VIP Avia,PAV,Kazakhstan
VIP Avia,PRX,Latvia
Visionair,VAT,Ireland
